城市,评论,昵称,性别,评分,观影时间
北京,"这部麦庄合作的港产动作大片，从视觉效果上，那是没得说！很燃很炸！
金三角枪战戏，会让人联想起《湄公河行动》；而周润发双枪扫射的镜头又让人想起“小马哥”。
但即便如此，一想到这是一部以犯罪分子为主角、以假钞犯罪为主题的电影，就会不自觉地心生厌恶。
拍得越好，这种烦感度就越高，即便最后的结尾是恶有恶报，但意识不良、导向偏差的嫌疑，还是难脱干系！
比如对于假钞一系列专业化制作流程的完美还原，会不会有点“教授犯罪方法”的意思？
而这些犯罪分子精益求精、认真严谨的态度，又会让人联想起“工匠精神”，这就难免尴尬了。难道导演是在为假钞犯罪团伙拍摄宣传片么？
“任何事只要做到极致就是艺术”，那么犯罪也算吗？",娱评天下蓝雨星城,1,3,2018-10-01 09:12
绵阳,演技棒棒！剧情紧凑，喜欢！,天山龙姥,2,4.5,2018-10-01 09:11
平度,绝对的烧脑，不愧是影坛界的大哥！,小兵哥9635,1,5,2018-10-01 09:11
郑州,这场电影纯粹是周末放松心情,燕语知秋,0,4,2018-10-01 09:11
青岛,最后的反转还是让人大吃一惊,々236,1,5,2018-10-01 09:11
孝感,剧情顺序有待改善，和别的有雷同,wangy120,1,4.5,2018-10-01 09:11
哈尔滨,看后都说烧脑！质量上乘！,SS花雕SS,0,4.5,2018-10-01 09:10
玉溪,不愧是影帝，演技真的赞，发哥还是一如既往的帅，郭天王演技也是越来越好。,lishen1993X,1,5,2018-10-01 09:09
赣州,好看！！！！,UGk514236810,0,4.5,2018-10-01 09:08
佛山,只为我的静初姐而看。,徜徉东方,0,5,2018-10-01 09:07
西安,又是一个极具考验心理的影片   总会有意想不到的地方    全程都很紧张    故事情节超级紧扣   到最后还有点   赞赞赞  推荐去看,张雯静真的不文静,2,4.5,2018-10-01 09:07
南宁,双影帝演绎的江湖恩怨，亦真亦假，还挺不错。,lw20122012,1,5,2018-10-01 09:06
